OPE ID,School,State,Zip Code,School Type,SubsidizedDL_value,Subsidized_DL_Recipients,UNSubsidizedDL_value,UNSubsidized_DL_Recipients
230800, OLIVET COLLEGE , MI ,490769902,Private-Nonprofit,1596203.00,56,1589145.00,3
231000, ST. CLAIR COUNTY COMMUNITY COLLEGE , MI ,480603864,Public,1209527.00,229,1199654.00,2
231100, KUYPER COLLEGE , MI ,495259749,Private-Nonprofit,377995.00,15,331810.00, -   
231300, SACRED HEART MAJOR SEMINARY , MI ,482061799,Private-Nonprofit,25777.00,8,19000.00,7
231400, SAGINAW VALLEY STATE UNIVERSITY , MI ,487100001,Public,9654623.00,520,10834487.00,98
231500, SCHOOLCRAFT COLLEGE , MI ,481522696,Public,3141387.00,477,3512995.00, -   
231600, SIENA HEIGHTS UNIVERSITY , MI ,492211796,Private-Nonprofit,2954967.00,"1,418",3915049.00,165
231700, SOUTHWESTERN MICHIGAN COLLEGE , MI ,490479793,Public,1698701.00,85,1449801.00, -   
231800, SPRING ARBOR UNIVERSITY , MI ,492839984,Private-Nonprofit,3460116.00,792,3946373.00,546
232200, FINLANDIA UNIVERSITY , MI ,499301882,Private-Nonprofit,780649.00,28,699231.00, -   
232300, UNIVERSITY OF DETROIT MERCY , MI ,482213038,Private-Nonprofit,945879.00,154,1071222.00,118
232500, UNIVERSITY OF MICHIGAN , MI ,481091340,Public,1173076.00,7,949117.00,31
232600, UNIVERSITY OF MICHIGAN - DEARBORN , MI ,481282406,Public,6546740.00,778,7085389.00,146
232700, UNIVERSITY OF MICHIGAN - FLINT , MI ,485021950,Public,2263315.00,298,2561167.00,56
232800, WASHTENAW COMMUNITY COLLEGE , MI ,481054800,Public,4661723.00,"1,000",4628859.00, -   
232900, WAYNE STATE UNIVERSITY , MI ,482011306,Public,20412633.00,"1,094",21426616.00,538
233000, WESTERN MICHIGAN UNIVERSITY , MI ,490083899,Public,2354518.00,621,2982629.00,219
233100, WESTERN THEOLOGICAL SEMINARY , MI ,494233622,Private-Nonprofit, $-   , -   , $-   ,8
233200, ANOKA-RAMSEY COMMUNITY COLLEGE , MN ,554333499,Public,5553934.00,789,5608886.00, -   
233400, AUGSBURG COLLEGE , MN ,554541351,Private-Nonprofit,3554544.00,209,3600091.00,100
233500, RIVERLAND COMMUNITY COLLEGE , MN ,559121473,Public,2326890.00,337,2446453.00, -   
233600, BEMIDJI STATE UNIVERSITY , MN ,566012699,Public,4445110.00,370,5038313.00,39
233700, BETHANY LUTHERAN COLLEGE , MN ,560016163,Private-Nonprofit,765543.00,10,467624.00, -   
233900, CENTRAL LAKES COLLEGE , MN ,564013900,Public,2297628.00,358,2491462.00, -   
234000, CARLETON COLLEGE , MN ,550574001,Private-Nonprofit,243707.00,19,512422.00, -   
234100, COLLEGE OF ST BENEDICT , MN ,563742099,Private-Nonprofit,2287972.00,50,1851209.00, -   
234200, ST. CATHERINE UNIVERSITY , MN ,551051789,Private-Nonprofit,5147260.00,329,5905103.00,128
234300, COLLEGE OF SAINT SCHOLASTICA , MN ,558114199,Private-Nonprofit,3406657.00,207,3526569.00,319
234500, UNIVERSITY OF ST THOMAS , MN ,551051096,Private-Nonprofit,6259461.00,222,5699462.00,258
234600, CONCORDIA COLLEGE - MOORHEAD , MN ,565620001,Private-Nonprofit,3004039.00,44,2434644.00, -   
234700, CONCORDIA UNIVERSITY - SAINT PAUL , MN ,551045494,Private-Nonprofit,2287765.00,220,2870188.00,214
235000, VERMILION COMMUNITY COLLEGE , MN ,557311996,Public,508368.00,72,557810.00, -   
235300, GUSTAVUS ADOLPHUS COLLEGE , MN ,560821498,Private-Nonprofit,2951074.00,52,2624682.00, -   
235400, HAMLINE UNIVERSITY , MN ,551041284,Private-Nonprofit,3183433.00,133,2758808.00,297
235500, HIBBING COMMUNITY COLLEGE , MN ,557463300,Public,1242453.00,125,1379638.00, -   
235600, ITASCA COMMUNITY COLLEGE , MN ,557443397,Public,837461.00,131,928199.00, -   
235700, LUTHER SEMINARY , MN ,551081496,Private-Nonprofit, $-   , -   , $-   ,16
235800, MACALESTER COLLEGE , MN ,551051899,Private-Nonprofit,1509424.00,46,1193416.00, -   
236000," MINNESOTA STATE UNIVERSITY, MANKATO ", MN ,560016068,Public,11472004.00,827,13094743.00,191
236100, MARTIN LUTHER COLLEGE , MN ,560733965,Private-Nonprofit,732076.00,30,422724.00,3
236200, MINNEAPOLIS COMMUNITY AND TECHNICAL COLLEGE , MN ,554031779,Public,9086831.00,"1,287",10446943.00, -   
236500, MINNEAPOLIS COLLEGE OF ART & DESIGN , MN ,554044343,Private-Nonprofit,1014477.00,23,900604.00, -   
236600, CROSSROADS COLLEGE , MN ,559022382,Private-Nonprofit,138750.00,12,114637.00, -   
236700, MINNESOTA STATE UNIVERSITY MOORHEAD , MN ,565630001,Public,5826235.00,501,6881356.00,82
236900, NORTH CENTRAL UNIVERSITY , MN ,554041391,Private-Nonprofit,1633751.00,65,1437568.00, -   
237000, NORTH HENNEPIN COMMUNITY COLLEGE , MN ,554452299,Public,5420987.00,962,6235556.00, -   
237100, UNIVERSITY OF NORTHWESTERN- ST PAUL , MN ,551131598,Private-Nonprofit,2711827.00,90,2071529.00,119
237300, ROCHESTER COMMUNITY AND TECHNICAL COLLEGE , MN ,559044999,Public,4782790.00,677,5071126.00, -   
237500, SOUTHWEST MINNESOTA STATE UNIVERSITY , MN ,562581598,Public,2612418.00,220,2796589.00,63
237700, ST. CLOUD STATE UNIVERSITY , MN ,563014498,Public,10732209.00,"1,166",12156950.00,200
237900, SAINT JOHN'S UNIVERSITY , MN ,563210000,Private-Nonprofit,1797860.00,53,1810456.00,4
238000, SAINT MARY'S UNIVERSITY OF MINNESOTA , MN ,559871399,Private-Nonprofit,1965008.00,120,2060682.00,354
238200, ST OLAF COLLEGE , MN ,550571098,Private-Nonprofit,2542653.00,25,1882259.00, -   
238300, CROWN COLLEGE , MN ,553759001,Private-Nonprofit,1438622.00,123,1504129.00,36
238500, NORTHLAND COMMUNITY AND TECHNICAL COLLEGE , MN ,567012598,Public,2792184.00,333,3220488.00, -   
238600, UNITED THEOLOGICAL SEMINARY OF THE TWIN CITIES , MN ,551122598,Private-Nonprofit, $-   , -   , $-   ,6
238800, UNIVERSITY OF MINNESOTA  DULUTH , MN ,558122496,Public,8399317.00,220,9257357.00,124
238900, UNIVERSITY OF MINNESOTA , MN ,562672113,Public,1205572.00,43,1639420.00, -   
239100, WILLIAM MITCHELL COLLEGE OF LAW , MN ,551053076,Private-Nonprofit, $-   , -   , $-   ,30
239300, MINNESOTA STATE COLLEGE - SOUTHEAST TECHNICAL , MN ,559870409,Public,2032690.00,282,2464664.00, -   
239400, WINONA STATE UNIVERSITY , MN ,559875838,Public,7867032.00,409,8596441.00,61
239600, ALCORN STATE UNIVERSITY , MS ,390967500,Public,4732366.00,527,6011318.00,100
239700, BELHAVEN UNIVERSITY , MS ,392021789,Private-Nonprofit,2766961.00,274,3381517.00,339
239800, BLUE MOUNTAIN COLLEGE , MS ,386109370,Private-Nonprofit,538123.00,20,302882.00,1
240200, COPIAH-LINCOLN COMMUNITY COLLEGE , MS ,391910649,Public,641825.00,38,330376.00, -   
240300, DELTA STATE UNIVERSITY , MS ,387330000,Public,2488385.00,170,2722362.00,135
240400, EAST CENTRAL COMMUNITY COLLEGE , MS ,393270129,Public,824400.00,120,620265.00, -   
240500, EAST MISSISSIPPI COMMUNITY COLLEGE , MS ,393580000,Public,2670445.00,266,1941908.00, -   
240700, HINDS COMMUNITY COLLEGE , MS ,391549799,Public,2794915.00,363,1412784.00, -   
240800, HOLMES COMMUNITY COLLEGE , MS ,390790000,Public,1444630.00,233,695583.00, -   
240900, ITAWAMBA COMMUNITY COLLEGE , MS ,388431099,Public,1780600.00,158,1132504.00, -   
241000, JACKSON STATE UNIVERSITY , MS ,392170001,Public,10224413.00,669,12607539.00,200
241100, JONES COUNTY JUNIOR COLLEGE , MS ,394373999,Public,769333.00,151,743736.00, -   
241300, MERIDIAN COMMUNITY COLLEGE , MS ,393075890,Public,413383.00,79,368084.00, -   
241400, MILLSAPS COLLEGE , MS ,392100001,Private-Nonprofit,622276.00,19,755942.00,18
241500, MISSISSIPPI COLLEGE , MS ,390580001,Private-Nonprofit,2446889.00,178,3121384.00,177
241700, MISSISSIPPI GULF COAST COMMUNITY COLLEGE , MS ,395730000,Public,3558862.00,708,3820993.00, -   
242200, MISSISSIPPI UNIVERSITY FOR WOMEN , MS ,397015818,Public,2378891.00,182,2967744.00,24
242300, MISSISSIPPI STATE UNIVERSITY , MS ,397629698,Public,13279394.00,762,15176777.00,172
242400, MISSISSIPPI VALLEY STATE UNIVERSITY , MS ,389411400,Public,3039899.00,148,3350338.00,41
242600, NORTHEAST MISSISSIPPI COMMUNITY COLLEGE , MS ,388291731,Public,1021409.00,134,710701.00, -   
242700, NORTHWEST MISSISSIPPI COMMUNITY COLLEGE , MS ,386681703,Public,1598296.00,248,1750603.00, -   
243000, PEARL RIVER COMMUNITY COLLEGE , MS ,394702201,Public,1115178.00,138,945459.00, -   
243300, RUST COLLEGE , MS ,386352328,Private-Nonprofit,1546227.00,68,1195877.00, -   
243900, TOUGALOO COLLEGE , MS ,391749799,Private-Nonprofit,1523973.00,75,1849826.00,1
244000, UNIVERSITY OF MISSISSIPPI , MS ,386771848,Public,12690277.00,516,13721259.00,152
244100, UNIVERSITY OF SOUTHERN MISSISSIPPI , MS ,394060001,Public,14136012.00,800,15831336.00,185
244700, WILLIAM CAREY UNIVERSITY , MS ,394015499,Private-Nonprofit,1587895.00,152,1530108.00,117
244900, AVILA UNIVERSITY , MO ,641451698,Private-Nonprofit,1995623.00,153,2367172.00,48
245000, CALVARY BIBLE COLLEGE , MO ,641471341,Private-Nonprofit,165367.00,9,117342.00,8
245300, CENTRAL METHODIST UNIVERSITY , MO ,652481198,Private-Nonprofit,3411602.00,175,3141430.00,20
245400, UNIVERSITY OF CENTRAL MISSOURI , MO ,640935001,Public,9367394.00,545,11675623.00,223
245600, COLUMBIA COLLEGE , MO ,652164581,Private-Nonprofit,16946064.00,"2,241",19959773.00,113
245700, CONCORDIA SEMINARY , MO ,631053199,Private-Nonprofit, $-   , -   , $-   ,33
245800, COTTEY COLLEGE , MO ,647722790,Private-Nonprofit,249307.00,6,270812.00, -   
245900, CROWDER COLLEGE , MO ,648509165,Public,1479313.00,188,1338410.00, -   
246000, CULVER-STOCKTON COLLEGE , MO ,634351299,Private-Nonprofit,1165628.00,60,1300173.00,5
246100, DRURY UNIVERSITY , MO ,658023791,Private-Nonprofit,4804981.00,215,4334091.00,44
246200, EDEN THEOLOGICAL SEMINARY , MO ,631193192,Private-Nonprofit, $-   , -   , $-   ,8
246300, EVANGEL UNIVERSITY , MO ,658022125,Private-Nonprofit,2822441.00,203,2779013.00,48
246400, FONTBONNE UNIVERSITY , MO ,631053098,Private-Nonprofit,1325710.00,90,1605432.00,87
246600, HARRIS - STOWE STATE UNIVERSITY , MO ,631032199,Public,1754837.00,188,1519731.00, -   
246700, CONCEPTION SEMINARY COLLEGE , MO ,644330502,Private-Nonprofit,45727.00,2,72431.00, -   
246800, JEFFERSON COLLEGE , MO ,630502441,Public,1669250.00,273,1781950.00, -   
247100, SAINT LOUIS COMMUNITY COLLEGE , MO ,631022810,Public,3042706.00,451,1961228.00,3
247300, KANSAS CITY ART INSTITUTE , MO ,641111874,Private-Nonprofit,1084198.00,17,967780.00, -   
247400, KANSAS CITY UNIVERSITY OF MEDICINE AND BIOSCIENCES , MO ,641062311,Private-Nonprofit, $-   , -   , $-   ,7
247600, KENRICK-GLENNON SEMINARY , MO ,631194330,Private-Nonprofit,6250.00, -   , $-   , -   
247700, A. T. STILL UNIVERSITY OF HEALTH SCIENCES , MO ,635011497,Private-Nonprofit, $-   , -   , $-   ,103
247900, LINCOLN UNIVERSITY , MO ,651013500,Public,3008536.00,450,3370762.00,19
248000, LINDENWOOD UNIVERSITY , MO ,633011695,Private-Nonprofit,8681309.00,512,9891223.00,428
248200, MARYVILLE UNIVERSITY OF SAINT LOUIS , MO ,631417299,Private-Nonprofit,2934069.00,223,3379634.00,507
248400, METROPOLITAN COMMUNITY COLLEGE , MO ,641112408,Public,3264161.00,526,2892072.00, -   
248500, MIDWESTERN BAPTIST THEOLOGICAL SEMINARY , MO ,641184697,Private-Nonprofit,201056.00,22,180500.00,15
248600, MINERAL AREA COLLEGE , MO ,636011000,Public,1401499.00,186,1346142.00, -   
248800, MISSOURI SOUTHERN STATE UNIVERSITY , MO ,648011595,Public,4906617.00,411,5270124.00,8
248900, MISSOURI VALLEY COLLEGE , MO ,653403197,Private-Nonprofit,1686330.00,55,2020697.00,1
249000, MISSOURI WESTERN STATE UNIVERSITY , MO ,645072294,Public,4382942.00,370,5023824.00,11
249100, MOBERLY AREA COMMUNITY COLLEGE , MO ,652701304,Public,2019574.00,351,1933694.00, -   
249400, NAZARENE THEOLOGICAL SEMINARY , MO ,641311246,Private-Nonprofit, $-   , -   , $-   ,15
249500, TRUMAN STATE UNIVERSITY , MO ,635014221,Public,3403836.00,147,3790728.00,28
249600, NORTHWEST MISSOURI STATE UNIVERSITY , MO ,644686001,Public,5127531.00,193,5353013.00,39
249800, PARK UNIVERSITY , MO ,641523795,Private-Nonprofit,6802755.00,751,8040127.00,144
249900, ROCKHURST UNIVERSITY , MO ,641102561,Private-Nonprofit,1591346.00,99,1830367.00,52
250100, SOUTHEAST MISSOURI STATE UNIVERSITY , MO ,637014799,Public,8108971.00,465,9389975.00,60
250200, SOUTHWEST BAPTIST UNIVERSITY , MO ,656132597,Private-Nonprofit,2776297.00,276,2841558.00,64
250300, MISSOURI STATE UNIVERSITY , MO ,658970094,Public,15418284.00,925,16287788.00,248
250400, SAINT LOUIS COLLEGE OF PHARMACY , MO ,631101088,Private-Nonprofit,1040232.00,5,637399.00,1
250600, SAINT LOUIS UNIVERSITY , MO ,631032097,Private-Nonprofit,7822667.00,270,7537259.00,182
250900, SAINT PAUL SCHOOL OF THEOLOGY , MO ,641272499,Private-Nonprofit, $-   , -   , $-   ,71
251200, STEPHENS COLLEGE , MO ,652150001,Private-Nonprofit,817274.00,53,747653.00,16
251400, NORTH CENTRAL MISSOURI COLLEGE , MO ,646831824,Public,793013.00,131,833840.00, -   
251600, UNIVERSITY OF MISSOURI - COLUMBIA , MO ,652111600,Public,18856180.00,827,21779994.00,385
251700, MISSOURI UNIVERSITY OF SCIENCE AND TECHNOLOGY , MO ,654090250,Public,4774222.00,256,5129429.00,42
251800, UNIVERSITY OF MISSOURI - KANSAS CITY , MO ,641102497,Public,9088836.00,447,9958735.00,280
251900, UNIVERSITY OF MISSOURI - SAINT LOUIS , MO ,631214499,Public,10942306.00,782,12174840.00,280
252000, WASHINGTON UNIVERSITY IN ST. LOUIS , MO ,631304899,Private-Nonprofit,2685370.00,69,1363049.00,289
252100, WEBSTER UNIVERSITY , MO ,631193194,Private-Nonprofit,3895362.00,359,4257049.00,"2,508"
252200, WENTWORTH MILITARY ACADEMY & JUNIOR COLLEGE , MO ,640671799,Private-Nonprofit,340515.00,29,343596.00, -   
252300, WESTMINSTER COLLEGE , MO ,652511299,Private-Nonprofit,970505.00,29,1030777.00, -   
252400, WILLIAM JEWELL COLLEGE , MO ,640681896,Private-Nonprofit,1119256.00,45,1326004.00, -   
252500, WILLIAM WOODS UNIVERSITY , MO ,652512388,Private-Nonprofit,985126.00,82,1104099.00,394
252600, CARROLL COLLEGE , MT ,596250002,Private-Nonprofit,1368221.00,48,1342198.00, -   
252700, UNIVERSITY OF GREAT FALLS , MT ,594054996,Private-Nonprofit,866853.00,51,1020994.00,5
252800, MILES COMMUNITY COLLEGE , MT ,593014799,Public,266488.00,30,331028.00, -   
252900, DAWSON COMMUNITY COLLEGE , MT ,593301405,Public,146222.00,17,181250.00, -   
253000, MONTANA STATE UNIVERSITY - BILLINGS , MT ,591010298,Public,3489936.00,264,3923082.00,31
253100, MONTANA TECH OF THE UNIVERSITY OF MONTANA , MT ,597018997,Public,1924351.00,134,2259736.00,19
253200, MONTANA STATE UNIVERSITY BOZEMAN , MT ,597174160,Public,9986572.00,547,10883583.00,104
253300, MONTANA STATE UNIVERSITY - NORTHERN , MT ,595013148,Public,1072199.00,83,1085320.00,2
253400, ROCKY MOUNTAIN COLLEGE , MT ,591021796,Private-Nonprofit,1091817.00,36,1130872.00,30
253600, UNIVERSITY OF MONTANA (THE) , MT ,598120001,Public,11364064.00,697,12384870.00,116
253700, UNIVERSITY OF MONTANA WESTERN (THE) , MT ,597253598,Public,1244164.00,88,1188418.00, -   
253900, CHADRON STATE COLLEGE , NE ,693372690,Public,1735456.00,171,1806443.00,81
254000, COLLEGE OF SAINT MARY , NE ,681062606,Private-Nonprofit,1085157.00,53,1250584.00,22
254100, CONCORDIA UNIVERSITY , NE ,684341594,Private-Nonprofit,1224386.00,35,1281077.00,96
254200, CREIGHTON UNIVERSITY , NE ,681780001,Private-Nonprofit,3594770.00,96,3411358.00,140
254400, DOANE COLLEGE , NE ,683332421,Private-Nonprofit,2137035.00,111,2249034.00,46
254700, GRACE UNIVERSITY , NE ,681083629,Private-Nonprofit,376616.00,25,297225.00,10
254800, HASTINGS COLLEGE , NE ,689017621,Private-Nonprofit,1181140.00,36,1113255.00,3
255100, UNIVERSITY OF NEBRASKA - KEARNEY , NE ,688490001,Public,4710426.00,198,4336685.00,87
255300, MIDLAND UNIVERSITY , NE ,680254254,Private-Nonprofit,1657823.00,72,1626816.00,5
255400, UNIVERSITY OF NEBRASKA - OMAHA , NE ,681820001,Public,7927745.00,497,10229716.00,220
255500, NEBRASKA WESLEYAN UNIVERSITY , NE ,685042796,Private-Nonprofit,2091857.00,71,1912564.00,13
255700, MID-PLAINS COMMUNITY COLLEGE , NE ,691019420,Public,724539.00,37,628086.00, -   
255900, PERU STATE COLLEGE , NE ,684210010,Public,1568426.00,128,1673085.00,15
256000, WESTERN NEBRASKA COMMUNITY COLLEGE , NE ,693611815,Public,584941.00,33,320443.00, -   
256300, UNION COLLEGE , NE ,685064387,Private-Nonprofit,837265.00,49,880065.00,2
256500, UNIVERSITY OF NEBRASKA , NE ,685880419,Public,11844836.00,372,13537275.00,124
256600, WAYNE STATE COLLEGE , NE ,687871172,Public,2368615.00,123,2464802.00,46
256700, YORK COLLEGE , NE ,684672699,Private-Nonprofit,625402.00,31,596039.00,3
256800," UNIVERSITY OF NEVADA , RENO ", NV ,895570002,Public,10409494.00,480,9550357.00,112
256900, UNIVERSITY OF NEVADA - LAS VEGAS , NV ,891541001,Public,15062558.00,778,15057885.00,196
257200, COLBY-SAWYER COLLEGE , NH ,32574648,Private-Nonprofit,2000987.00,25,1458602.00, -   
257300, DARTMOUTH COLLEGE , NH ,37553529,Private-Nonprofit,911406.00,82,1093688.00,38
257500, FRANKLIN PIERCE UNIVERSITY , NH ,34610060,Private-Nonprofit,2054949.00,79,1956918.00,40
257900, NEW ENGLAND COLLEGE , NH ,32423293,Private-Nonprofit,1898331.00,202,2162099.00,85
258000, SOUTHERN NEW HAMPSHIRE UNIVERSITY , NH ,31061045,Private-Nonprofit,17702989.00,"4,093",22623174.00,"1,774"
258100, NHTI  - CONCORD'S COMMUNITY COLLEGE , NH ,33017412,Public,3422424.00,283,3496382.00, -   
258200, MANCHESTER COMMUNITY COLLEGE , NH ,31028518,Public,1805120.00,149,2058414.00, -   
258300, GREAT BAY COMMUNITY COLLEGE , NH ,38012807,Public,1500271.00,139,1523044.00, -   
258600, RIVIER UNIVERSITY , NH ,30605086,Private-Nonprofit,1968408.00,104,2163739.00,95
258700, SAINT ANSELM COLLEGE , NH ,31021310,Private-Nonprofit,2457550.00,48,2354585.00, -   
258900, UNIVERSITY OF NEW HAMPSHIRE , NH ,38242511,Public,16667375.00,365,13281058.00,79
259000, KEENE STATE COLLEGE , NH ,34351504,Public,5635211.00,172,5837163.00,2
259100, PLYMOUTH STATE UNIVERSITY OF THE UNIVERSITY SYSTEM OF NEW HAMPSHIRE , NH ,32641595,Public,5301258.00,165,5490696.00,40
259600, ATLANTIC CAPE COMMUNITY COLLEGE , NJ ,83302699,Public,2101413.00,189,1673844.00, -   
259700, BLOOMFIELD COLLEGE , NJ ,70033425,Private-Nonprofit,3083703.00,171,3105454.00,1
259800, CALDWELL COLLEGE , NJ ,70066195,Private-Nonprofit,1814312.00,66,1973551.00,43
259900, CENTENARY COLLEGE , NJ ,78402184,Private-Nonprofit,1995893.00,112,1813991.00,42
260000, COLLEGE OF SAINT ELIZABETH , NJ ,79606989,Private-Nonprofit,1032284.00,38,971026.00,48
260100, CUMBERLAND COUNTY COLLEGE , NJ ,83629912,Public,1320441.00,218,1961276.00, -   
260300, DREW UNIVERSITY , NJ ,79404063,Private-Nonprofit,1661035.00,28,1336150.00,29
260700, FAIRLEIGH DICKINSON UNIVERSITY , NJ ,76661996,Private-Nonprofit,8723719.00,871,8068621.00,303
260800, GEORGIAN COURT UNIVERSITY , NJ ,87012697,Private-Nonprofit,1965608.00,64,1899412.00,71
260900, ROWAN UNIVERSITY , NJ ,80281702,Public,11576478.00,530,12224544.00,136
261000, FELICIAN COLLEGE , NJ ,76442198,Private-Nonprofit,2305573.00,157,2357078.00,35
261300, NEW JERSEY CITY UNIVERSITY , NJ ,73051597,Public,6621213.00,303,5587109.00,153
261500, MIDDLESEX COUNTY COLLEGE , NJ ,88183050,Public,1891691.00,198,1796925.00, -   
261600, MONMOUTH UNIVERSITY , NJ ,77641898,Private-Nonprofit,5519397.00,313,4807318.00,297
261700, MONTCLAIR STATE UNIVERSITY , NJ ,70439987,Public,17170297.00,600,16491839.00,205
261900, NEW BRUNSWICK THEOLOGICAL SEMINARY , NJ ,89011196,Private-Nonprofit,2750.00, -   ,3500.00,7
262100, NEW JERSEY INSTITUTE OF TECHNOLOGY , NJ ,71021982,Public,7178824.00,250,5417038.00,95
262200, KEAN UNIVERSITY , NJ ,70837131,Public,13707688.00,871,14751939.00,139
262400, OCEAN COUNTY COLLEGE , NJ ,87542001,Public,2495559.00,432,2644655.00, -   
262500, WILLIAM PATERSON UNIVERSITY OF NEW JERSEY , NJ ,74702152,Public,12340390.00,562,12895906.00,86
262600, PRINCETON THEOLOGICAL SEMINARY , NJ ,85400803,Private-Nonprofit, $-   ,1,10000.00,17
262700, PRINCETON UNIVERSITY , NJ ,85440001,Private-Nonprofit,49428.00,22,482145.00,3
262800, RIDER UNIVERSITY , NJ ,86483099,Private-Nonprofit,5183891.00,191,5057143.00,35
262900," RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY ", NJ ,89011281,Public,46838691.00,"1,832",40172207.00,686
262923," RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY - BIOMED & HLTH SCI CAMPUS ", NJ ,89011281,Public, $-   , -   , $-   , -   
263200, SETON HALL UNIVERSITY , NJ ,70792697,Private-Nonprofit,6014923.00,227,5536533.00,152
263800, SAINT PETER'S UNIVERSITY , NJ ,73065997,Private-Nonprofit,2761690.00,122,2929013.00,73
263900, STEVENS INSTITUTE OF TECHNOLOGY , NJ ,70305370,Private-Nonprofit,2816285.00,196,2192069.00,50
264200, COLLEGE OF NEW JERSEY (THE) , NJ ,86280718,Public,5391437.00,168,6184416.00,39
264300, UNION COUNTY COLLEGE , NJ ,70161598,Public,2338866.00,503,3085523.00, -   
264900, SANTA FE UNIVERSITY OF ART AND DESIGN , NM ,875057634,Proprietary,829818.00,32,905753.00, -   
265000, UNIVERSITY OF THE SOUTHWEST , NM ,882409129,Private-Nonprofit,388219.00,30,489568.00,139
265100, EASTERN NEW MEXICO UNIVERSITY , NM ,881306000,Public,2858985.00,143,2644205.00,82
265300, NEW MEXICO HIGHLANDS UNIVERSITY , NM ,877014436,Public,1629951.00,167,1130045.00,129
265400, NEW MEXICO INSTITUTE OF MINING & TECHNOLOGY , NM ,878014796,Public,806509.00,60,821942.00,9
265500, NEW MEXICO JUNIOR COLLEGE , NM ,882409123,Public,240199.00,41,272977.00, -   
265600, NEW MEXICO MILITARY INSTITUTE , NM ,882015173,Public,100703.00,10,107875.00, -   
265700, NEW MEXICO STATE UNIVERSITY , NM ,880038001,Public,14414029.00,734,9618971.00,165
266000, SAN JUAN COLLEGE , NM ,874024699,Public,1136889.00,136,880675.00, -   
266300, UNIVERSITY OF NEW MEXICO , NM ,871310001,Public,16938882.00,"1,480",18655599.00,455
266400, WESTERN NEW MEXICO UNIVERSITY , NM ,880615417,Public,1901159.00,131,2095801.00,56
266500, VAUGHN COLLEGE OF AERONAUTICS AND TECHNOLOGY , NY ,113699997,Private-Nonprofit,1334769.00,48,1137073.00, -   
266600, ADELPHI UNIVERSITY , NY ,115304299,Private-Nonprofit,5822539.00,239,5918327.00,145
266700, DOWLING COLLEGE , NY ,117691999,Private-Nonprofit,1839498.00,122,1701120.00,57
266800, ALFRED UNIVERSITY , NY ,148021205,Private-Nonprofit,2726916.00,93,2261523.00,155
266900, BANK STREET COLLEGE OF EDUCATION , NY ,100251898,Private-Nonprofit, $-   , -   , $-   ,41
267000, BAPTIST BIBLE COLLEGE OF PENNSYLVANIA , PA ,184111297,Private-Nonprofit,574245.00,28,412425.00,13
267100, BARD COLLEGE , NY ,125045000,Private-Nonprofit,1840741.00,22,1268855.00,2
267400, NEW YORK THEOLOGICAL SEMINARY , NY ,101150002,Private-Nonprofit, $-   , -   , $-   ,14
267700, BROOKLYN LAW SCHOOL , NY ,112013798,Private-Nonprofit, $-   , -   , $-   ,13
267800, BRYANT & STRATTON COLLEGE , NY ,142031713,Proprietary,16887353.00,"5,665",22351351.00,4
268100, CANISIUS COLLEGE , NY ,142081098,Private-Nonprofit,3453667.00,83,2659408.00,130
268500, CAZENOVIA COLLEGE , NY ,130351085,Private-Nonprofit,1480002.00,35,1228932.00, -   
268700, CUNY BROOKLYN COLLEGE , NY ,112102814,Public,3578283.00,362,2784011.00,136
268800, CITY COLLEGE OF NEW YORK - CUNY , NY ,100319198,Public,3170100.00,284,2533983.00,144
268900, CUNY HUNTER COLLEGE , NY ,100655024,Public,4075202.00,256,3406679.00,256
269000, CUNY QUEENS COLLEGE , NY ,113671597,Public,2860070.00,241,2572978.00,116
269100, CUNY BOROUGH OF MANHATTAN COMMUNITY COLLEGE , NY ,100071047,Public,3325450.00,305,2469685.00, -   
269200, CUNY BRONX COMMUNITY COLLEGE , NY ,104533102,Public,968325.00,174,886705.00, -   
269300, CUNY JOHN JAY COLLEGE OF CRIMINAL JUSTICE , NY ,100191093,Public,2975282.00,250,2701799.00,110
269400, KINGSBOROUGH COMMMUNITY COLLEGE/CUNY , NY ,112352398,Public,122517.00,49,115210.00, -   
269600, NEW YORK CITY COLLEGE OF TECHNOLOGY OF THE CITY UNIVERSITY OF NEW YORK , NY ,112012983,Public,2207434.00,325,1942244.00, -   
269700, QUEENSBOROUGH COMMUNITY COLLEGE-CUNY , NY ,113641497,Public,1285328.00,172,1124040.00, -   
269800, COLLEGE OF STATEN ISLAND/CUNY , NY ,103146600,Public,3494001.00,349,4197228.00,34
269900, CLARKSON UNIVERSITY , NY ,136991403,Private-Nonprofit,4772125.00,139,3018429.00,58
270000, COLGATE ROCHESTER CROZER DIVINITY SCHOOL , NY ,146202589,Private-Nonprofit, $-   , -   , $-   ,6
270100, COLGATE UNIVERSITY , NY ,133461386,Private-Nonprofit,1050659.00,48,603981.00,1
270300, COLLEGE OF MOUNT SAINT VINCENT , NY ,104711093,Private-Nonprofit,2648944.00,153,2511793.00,8
270500, COLLEGE OF ST ROSE , NY ,122031490,Private-Nonprofit,3912367.00,111,3256637.00,171
270700, COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK , NY ,100270000,Private-Nonprofit,4765438.00,574,6216829.00,602
